condition,success,denominator,rate,ci_low,ci_high
SR,36,1027,0.035053554040895815,0.025426124730802423,0.048146254582946246
R3,326,1027,0.317429406037001,0.28968649496896004,0.34653302570397804
R3_only,302,1027,0.2940603700097371,,
SR_only,12,1027,0.011684518013631937,,
