denominator_view,denominator,initial_success,initial_rate,initial_plus_sr_success,initial_plus_sr_rate,initial_plus_r3_success,initial_plus_r3_rate
official_expert_eligible_2133,2133,1106,0.5185185185185185,1142,0.5353961556493202,1432,0.6713548992030005
S0_execution_candidate_4000,4000,1106,0.2765,1142,0.2855,1432,0.358
public_planning_4500,4500,1106,0.2457777777777778,1142,0.25377777777777777,1432,0.31822222222222224
