variant,success,denominator,success_rate,wilson_ci_low,wilson_ci_high
SR,14,300,0.04666666666666667,0.027998933682334016,0.07679736022792105
NF,51,300,0.17,0.13173009843992434,0.21661426256827604
R1,75,300,0.25,0.20436988915825569,0.3019515964540173
R2,41,300,0.13666666666666666,0.10236514609208625,0.1801554129977505
R3,85,300,0.2833333333333333,0.2353308526310286,0.33681443489960794
R4,78,300,0.26,0.21362060325993487,0.3124480229278472
R3_MF,60,300,0.2,0.15865685896694132,0.24892892376778625
R3_MO,50,300,0.16666666666666666,0.1287653312036807,0.21299664961268325
R3_SHUF,33,300,0.11,0.07940528531126048,0.15045623224388538
