variant,completed_rows,success,success_rate,success_rate_completed
SR,300,14,0.04666666666666667,0.04666666666666667
NF,300,51,0.17,0.17
R1,300,75,0.25,0.25
R2,300,41,0.13666666666666666,0.13666666666666666
R3,300,85,0.2833333333333333,0.2833333333333333
R4,300,78,0.26,0.26
