condition,n,schema_valid,operation_sequence_exact_match,skill_name_accuracy,action_recall_rate,action_order_accuracy,step_level_f1,sequence_edit_distance,latency_s,object_argument_accuracy,target_argument_accuracy
P1,4500,0.7342222222222222,0.0,0.48036666666666666,0.48926172839506177,0.24977777777777777,0.0,2.3993333333333333,3.352731250921885,0.0,0.0
P2,4500,0.7982222222222223,0.132,0.5008135802469136,0.5087098765432099,0.2564444444444444,0.3138987493987494,1.7313333333333334,3.2827841755019294,0.5001855976243504,0.7184626436781609
P3,4500,0.8024444444444444,0.0,0.4543676767676768,0.5613975308641975,0.27111111111111114,0.0,2.8297777777777777,3.6206115244759456,0.0,0.0
