category,task,condition,n,schema_valid,operation_sequence_exact_match,skill_name_accuracy,action_recall_rate,action_order_accuracy,step_level_f1,sequence_edit_distance,latency_s,object_argument_accuracy,target_argument_accuracy
M&T,select_billiards,P1,100,0.95,0.0,0.95,0.95,0.95,0.0,2.0,2.283721959590912,0.0,0.0
M&T,select_billiards,P2,100,0.78,0.14,0.78,0.78,0.78,0.42,1.16,2.220980319976807,0.1794871794871795,0.8974358974358975
M&T,select_billiards,P3,100,1.0,0.0,0.97,0.99,0.97,0.0,2.05,2.404718291759491,0.0,0.0
M&T,select_book,P1,100,0.95,0.0,0.475,0.475,0.0,0.0,2.0,2.9829838395118715,0.0,
M&T,select_book,P2,100,0.99,0.0,0.495,0.495,0.0,0.36,1.28,2.969013502597809,0.7272727272727273,
M&T,select_book,P3,100,0.97,0.0,0.485,0.485,0.0,0.0,2.0,3.226845564842224,0.0,
M&T,select_chemistry_tube,P1,100,1.0,0.0,0.5,0.5,0.0,0.0,2.0,3.0567871952056884,0.0,
M&T,select_chemistry_tube,P2,100,1.0,0.0,0.5,0.5,0.0,0.415,1.17,3.028450448513031,0.83,
M&T,select_chemistry_tube,P3,100,1.0,0.0,0.49,0.5,0.0,0.0,2.02,3.2302318263053893,0.0,
M&T,select_drink,P1,100,0.89,0.0,0.445,0.445,0.0,0.0,2.0,2.771756420135498,0.0,
M&T,select_drink,P2,100,1.0,0.0,0.5,0.5,0.0,0.345,1.31,2.6467974305152895,0.69,
M&T,select_drink,P3,100,1.0,0.0,0.095,0.5,0.0,0.0,2.81,2.9960505890846254,0.0,
M&T,select_fruit,P1,100,1.0,0.0,1.0,1.0,1.0,0.0,2.0,3.981884162425995,0.0,0.0
M&T,select_fruit,P2,100,1.0,0.73,1.0,1.0,1.0,0.865,0.27,4.038662807941437,0.73,1.0
M&T,select_fruit,P3,100,1.0,0.0,1.0,1.0,1.0,0.0,2.0,4.082142486572265,0.0,0.0
M&T,select_poker,P1,100,0.89,0.0,0.445,0.445,0.0,0.0,2.0,3.8266465282440185,0.0,
M&T,select_poker,P2,100,0.28,0.0,0.14,0.14,0.0,0.035,1.93,3.7432363653182983,0.25,
M&T,select_poker,P3,100,1.0,0.0,0.5,0.5,0.0,0.0,2.0,3.904355947971344,0.0,
M&T,select_toy,P1,100,0.99,0.0,0.99,0.99,0.99,0.0,2.0,3.892983601093292,0.0,0.0
M&T,select_toy,P2,100,1.0,0.94,1.0,1.0,1.0,0.97,0.06,3.8415960597991945,0.94,1.0
M&T,select_toy,P3,100,0.98,0.0,0.98,0.98,0.98,0.0,2.0,4.11411946773529,0.0,0.0
PhysicsLaw,density_qa,P1,100,0.01,0.0,0.0,0.0,0.0,0.0,1.01,3.9233228039741515,0.0,
PhysicsLaw,density_qa,P2,100,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.729560968875885,,
PhysicsLaw,density_qa,P3,100,0.01,0.0,0.0,0.0,0.0,0.0,1.01,4.088134222030639,0.0,
PhysicsLaw,friction_qa,P1,100,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.3712517166137697,,
PhysicsLaw,friction_qa,P2,100,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.2358530831336973,,
