comparison,both_success,r3_only,baseline_only,neither,net_gain_cases,net_gain_pp,mcnemar_exact_p,holm_rank,holm_adjusted_p
R3_vs_SR,8,77,6,209,71,23.666666666666668,8.445814568882953e-17,1,6.756651655106362e-16
R3_vs_R2,37,48,4,211,44,14.666666666666666,1.3065282189472782e-10,2,9.145697532630948e-10
R3_vs_R3_SHUF,23,62,10,205,52,17.333333333333336,2.6890686575861277e-10,3,1.6134411945516766e-09
R3_vs_R3_MO,21,64,29,186,35,11.666666666666666,0.00036579567696276875,4,0.0018289783848138438
R3_vs_NF,22,63,29,186,34,11.333333333333332,0.0005090902243497337,5,0.0020363608973989348
R3_vs_R3_MF,45,40,15,200,25,8.333333333333332,0.0010158471941252856,6,0.0030475415823758567
R3_vs_R4,64,21,14,201,7,2.3333333333333335,0.31050465907901525,7,0.6210093181580305
R3_vs_R1,38,47,37,178,10,3.3333333333333335,0.32613417119198296,8,0.32613417119198296
